Country,Year,Avg_Temp,co2,methane,nitrous_oxide,total_ghg,Food_Production_Tonnes,Temp_Category,Carbon_Intensity_Index
Angola,2009,2.0,2.0,3.0,3.0,3.0,4.0,Hot,6.986624085340826e-07
Angola,2010,2.0,2.0,3.0,3.0,3.0,4.0,Hot,7.684620194052205e-07
Angola,2011,2.0,2.0,3.0,3.0,3.0,4.0,Hot,7.118591310759569e-07
Angola,2012,2.0,2.0,3.0,3.0,3.0,4.0,Hot,6.616034424740287e-07
Angola,2013,2.0,2.0,3.0,3.0,3.0,4.0,Hot,6.184948183225779e-07
Antigua And Barbuda,2000,3.0,0.0,0.0,0.0,0.0,4.0,Hot,4.744070159115052e-10
Antigua And Barbuda,2001,4.0,0.0,0.0,0.0,0.0,4.0,Hot,5.551139176424611e-10
Antigua And Barbuda,2002,4.0,0.0,0.0,0.0,0.0,4.0,Hot,6.051207423553286e-10
Antigua And Barbuda,2003,4.0,0.0,0.0,0.0,0.0,4.0,Hot,5.663421138619018e-10
Antigua And Barbuda,2004,4.0,0.0,0.0,0.0,0.0,4.0,Hot,5.582661943978008e-10
Antigua And Barbuda,2005,4.0,0.0,0.0,0.0,0.0,4.0,Hot,5.977016256434997e-10
Antigua And Barbuda,2006,4.0,0.0,0.0,0.0,0.0,4.0,Hot,6.389070497527102e-10
Antigua And Barbuda,2007,4.0,0.0,0.0,0.0,0.0,4.0,Hot,6.763003217750268e-10
Antigua And Barbuda,2008,4.0,0.0,0.0,0.0,0.0,4.0,Hot,6.96957166137561e-10
Antigua And Barbuda,2009,4.0,0.0,0.0,0.0,0.0,4.0,Hot,7.298918990602742e-10
Antigua And Barbuda,2010,4.0,0.0,0.0,0.0,0.0,4.0,Hot,6.20250605440749e-10
Antigua And Barbuda,2011,4.0,0.0,0.0,0.0,0.0,4.0,Hot,6.201435446370803e-10
Antigua And Barbuda,2012,4.0,0.0,0.0,0.0,0.0,4.0,Hot,6.913593615893458e-10
Antigua And Barbuda,2013,4.0,0.0,0.0,0.0,0.0,4.0,Hot,6.66050229274386e-10
Argentina,2000,1.0,3.0,4.0,4.0,3.0,4.0,Moderate,2.972226446135517e-07
Argentina,2001,1.0,3.0,4.0,4.0,3.0,4.0,Moderate,3.088757326346496e-07
Argentina,2002,1.0,3.0,4.0,4.0,4.0,4.0,Moderate,3.782958747885023e-07
Argentina,2003,1.0,3.0,4.0,4.0,4.0,4.0,Moderate,4.010741260553212e-07
Argentina,2004,1.0,3.0,4.0,4.0,4.0,4.0,Moderate,4.214459664154488e-07
Argentina,2005,1.0,3.0,4.0,4.0,4.0,4.0,Moderate,4.296269808463378e-07
Argentina,2006,1.0,3.0,4.0,4.0,4.0,4.0,Moderate,4.2616330019773836e-07
Argentina,2007,1.0,3.0,4.0,4.0,4.0,4.0,Moderate,3.538145573291764e-07
Argentina,2008,1.0,4.0,4.0,4.0,4.0,4.0,Moderate,3.244900220400004e-07
Argentina,2009,1.0,3.0,4.0,4.0,4.0,4.0,Moderate,4.386034400884901e-07
Argentina,2010,1.0,4.0,4.0,4.0,4.0,4.0,Moderate,3.553397025650344e-07
Argentina,2011,1.0,4.0,4.0,4.0,4.0,4.0,Moderate,3.430945673152987e-07
Argentina,2012,1.0,4.0,4.0,4.0,4.0,4.0,Moderate,3.2469710073788296e-07
Argentina,2013,1.0,4.0,4.0,4.0,4.0,4.0,Moderate,2.86322925929207e-07
Armenia,2000,0.0,1.0,0.0,0.0,0.0,4.0,Cold,6.1526197474738915e-09
Armenia,2001,0.0,1.0,0.0,0.0,0.0,4.0,Moderate,6.947067807783017e-09
Armenia,2002,0.0,1.0,0.0,0.0,0.0,4.0,Cold,6.740885478412476e-09
Armenia,2003,0.0,1.0,0.0,0.0,0.0,4.0,Cold,7.611648729226231e-09
Armenia,2004,0.0,1.0,0.0,0.0,0.0,4.0,Cold,8.823853202314545e-09
Armenia,2005,0.0,1.0,0.0,0.0,0.0,4.0,Cold,1.1099848900566101e-08
Armenia,2006,0.0,1.0,0.0,0.0,0.0,4.0,Moderate,9.27921695951008e-09
Armenia,2007,0.0,1.0,0.0,0.0,0.0,4.0,Cold,8.795494494057989e-09
Armenia,2008,0.0,1.0,0.0,0.0,0.0,4.0,Cold,8.865135418749263e-09
Armenia,2009,0.0,1.0,0.0,0.0,0.0,4.0,Cold,7.345948607206766e-09
Armenia,2010,1.0,1.0,0.0,0.0,0.0,4.0,Moderate,6.864551281841368e-09
Armenia,2011,0.0,1.0,0.0,0.0,0.0,4.0,Cold,7.298599922458335e-09
Armenia,2012,0.0,1.0,0.0,0.0,0.0,4.0,Moderate,7.795827346389058e-09
Armenia,2013,0.0,1.0,0.0,1.0,0.0,4.0,Moderate,7.490602032031894e-09
Asia,2000,0.0,4.0,4.0,4.0,4.0,4.0,Cold,1.400528893027854e-05
Asia,2001,0.0,4.0,4.0,4.0,4.0,4.0,Cold,1.363450291723079e-05
Asia,2002,0.0,4.0,4.0,4.0,4.0,4.0,Cold,1.3805406548297335e-05
Asia,2003,0.0,4.0,4.0,4.0,4.0,4.0,Cold,1.494520326741866e-05
Asia,2004,0.0,4.0,4.0,4.0,4.0,4.0,Cold,1.5122978281849052e-05
Asia,2005,0.0,4.0,4.0,4.0,4.0,4.0,Cold,1.5374863348288187e-05
Asia,2006,0.0,4.0,4.0,4.0,4.0,4.0,Cold,1.6306670698410566e-05
Asia,2007,0.0,4.0,4.0,4.0,4.0,4.0,Cold,1.6077983550435593e-05
Asia,2008,0.0,4.0,4.0,4.0,4.0,4.0,Cold,1.6490607828827634e-05
Asia,2009,0.0,4.0,4.0,4.0,4.0,4.0,Cold,1.6630055381094372e-05
Asia,2010,0.0,4.0,4.0,4.0,4.0,4.0,Cold,1.6963499856049584e-05
Asia,2011,0.0,4.0,4.0,4.0,4.0,4.0,Cold,1.7638112595691274e-05
Asia,2012,0.0,4.0,4.0,4.0,4.0,4.0,Cold,1.7447132622995364e-05
Asia,2013,0.0,4.0,4.0,4.0,4.0,4.0,Moderate,1.729942390911732e-05
Australia,2000,2.0,4.0,4.0,4.0,4.0,0.0,Hot,3.2641092825140195e-05
Australia,2001,2.0,4.0,4.0,4.0,4.0,0.0,Hot,3.2992599505079855e-05
Australia,2002,2.0,4.0,4.0,4.0,4.0,0.0,Hot,3.3523321259297014e-05
Australia,2003,2.0,4.0,4.0,4.0,4.0,0.0,Hot,3.470497866958281e-05
Australia,2004,2.0,4.0,4.0,4.0,4.0,0.0,Hot,3.119401373500017e-05
Australia,2005,2.0,4.0,4.0,4.0,4.0,0.0,Hot,2.722214570951272e-05
Australia,2006,2.0,4.0,4.0,4.0,4.0,0.0,Hot,2.558503669111448e-05
Australia,2007,2.0,4.0,4.0,4.0,4.0,0.0,Hot,2.881103798685182e-05
Australia,2008,2.0,4.0,4.0,4.0,4.0,0.0,Hot,3.084941164573753e-05
Australia,2009,2.0,4.0,4.0,4.0,4.0,0.0,Hot,2.6424762706068265e-05
Australia,2010,2.0,4.0,4.0,4.0,4.0,0.0,Hot,3.373692116594277e-05
Australia,2011,2.0,4.0,4.0,4.0,4.0,0.0,Hot,3.0771248509560824e-05
Australia,2012,2.0,4.0,4.0,4.0,4.0,0.0,Hot,2.8051510424013195e-05
Australia,2013,2.0,4.0,4.0,4.0,4.0,0.0,Hot,2.352412701882754e-05
Austria,2000,0.0,3.0,2.0,2.0,2.0,0.0,Cold,1.6408839006762316e-05
Austria,2001,0.0,3.0,2.0,2.0,2.0,0.0,Cold,1.7354539834941685e-05
Austria,2002,0.0,3.0,2.0,2.0,2.0,0.0,Cold,1.712219624463244e-05
Austria,2003,0.0,3.0,2.0,2.0,3.0,0.0,Cold,1.938139922437216e-05
Austria,2004,0.0,3.0,2.0,2.0,3.0,0.0,Cold,1.745280868809202e-05
Austria,2005,0.0,3.0,2.0,2.0,3.0,0.0,Cold,1.786600728794015e-05
Austria,2006,0.0,3.0,2.0,2.0,3.0,0.0,Cold,1.687750635877584e-05
Austria,2007,0.0,3.0,1.0,2.0,2.0,0.0,Cold,1.434014283647908e-05
Austria,2008,0.0,3.0,1.0,2.0,2.0,0.0,Cold,1.1711449247646108e-05
Austria,2009,0.0,3.0,1.0,2.0,2.0,0.0,Cold,9.335810449525224e-06
Austria,2010,0.0,3.0,1.0,2.0,2.0,0.0,Cold,8.403427630239967e-06
Austria,2011,0.0,3.0,1.0,2.0,2.0,0.0,Cold,6.16778505291526e-06
Austria,2012,0.0,3.0,1.0,2.0,2.0,0.0,Cold,5.09805355366899e-06
