Country,Year,Avg_Temp,co2,methane,nitrous_oxide,total_ghg,Food_Production_Tonnes,Temp_Category,Carbon_Intensity_Index
Afghanistan,2000,-0.5605340634432892,-0.1448641003951897,-0.11846738324684954,-0.11690925075705773,-0.22998734019134184,-0.11650879348712596,Moderate,1.9754964065537733e-07
Afghanistan,2001,-0.5396787991634332,-0.14466717687759864,-0.14943939955522612,-0.14574582397186672,-0.23544305657244863,-0.11514897717118115,Moderate,1.8326084086486386e-07
Afghanistan,2002,-0.5575698004858787,-0.14223248611465428,-0.10338676797627874,-0.11089186285044446,-0.21026056677742977,-0.06580062582675787,Moderate,2.226886902034421e-07
Afghanistan,2003,-0.60383214705969,-0.1402722020077248,-0.09615919199406972,-0.10034189704014847,-0.20667566157907238,-0.05272815268513671,Moderate,2.2505945075021e-07
Afghanistan,2004,-0.5402121184402894,-0.14316339728872124,-0.09699314306893998,-0.10206115072775226,-0.21566241163233174,-0.015770291489696966,Moderate,1.916437600651639e-07
Afghanistan,2005,-0.5990694818896247,-0.13731834924385847,-0.09120181616011863,-0.09041711438898115,-0.21436459759194276,0.014682881912359752,Moderate,1.843102705286701e-07
Afghanistan,2006,-0.5532598365624475,-0.13491051168785836,-0.08608228317272056,-0.10159226335840577,-0.2132528851875341,0.05101447735282278,Moderate,1.7568652362225237e-07
Afghanistan,2007,-0.5896805820621782,-0.12917287647077255,-0.07843773165307638,-0.105655953892742,-0.20924680260248443,0.02724626990751797,Moderate,1.902959860090939e-07
Afghanistan,2008,-0.5814699457533681,-0.1161580221717979,-0.050361378799110484,-0.08228973332030867,-0.19547038412846887,0.05467733462216974,Moderate,2.073141286873749e-07
Afghanistan,2009,-0.5784002592179743,-0.09705644096546233,-0.04243884358784286,-0.05861092116831103,-0.1826734479490865,0.062019662642631326,Moderate,2.281531619376709e-07
Afghanistan,2010,-0.5359145572907384,-0.07936017758920862,0.0009729429206819824,-0.02578880531405686,-0.1635980302611055,0.1114609751337332,Moderate,2.438781725260489e-07
